0521032P,8,0,6,2,0,0,0
0530004S,20,0,13,5,2,0,0
0530011Z,12,0,5,6,1,0,0
0530048P,9,0,7,2,0,0,0
0530081A,47,0,20,19,7,1,0
0530081A,28,0,7,16,2,3,0
0530081A,4,0,1,3,0,0,0
0540030P,6,1,4,1,0,0,0
0540034U,17,0,8,8,1,0,0
0540034U,12,0,4,4,4,0,0
0540038Y,88,0,0,0,6,53,28
0540038Y,86,0,0,3,37,41,5
0540041B,29,0,4,16,8,1,0
0540042C,18,0,10,5,3,0,0
0540044E,29,0,7,18,3,1,0
0540044E,24,0,10,11,3,0,0
0541207U,27,0,3,17,6,1,0
0542493S,35,0,7,10,9,7,1
0542493S,16,0,0,3,11,2,0
0542493S,5,0,3,1,0,1,0
0542493S,19,0,5,9,4,1,0
0542493S,4,0,2,2,0,0,0
0542493S,121,0,64,42,14,1,0
0542161F,8,0,1,2,3,2,0
0542161F,22,0,10,10,2,0,0
0542208G,5,0,4,1,0,0,0
0542288U,21,0,11,8,1,1,0
0542288U,96,0,47,33,13,3,0
0542408Z,14,0,10,4,0,0,0
0550002D,23,0,14,6,2,1,0
0550049E,3,0,1,2,0,0,0
0550752U,14,0,7,5,1,1,0
0560013K,6,0,3,2,1,0,0
0560025Y,48,0,0,12,26,9,1
0560025Y,24,0,15,8,1,0,0
0560026Z,3,0,1,2,0,0,0
0560026Z,17,0,5,6,5,1,0
0560038M,5,0,4,1,0,0,0
0560117Y,41,0,15,17,8,1,0
0560180S,20,0,7,8,4,1,0
0560200N,18,0,7,9,2,0,0
0560200N,23,0,9,11,3,0,0
0561363C,61,0,9,30,18,3,1
0561454B,17,0,1,12,3,1,0
0561718N,52,0,27,11,13,1,0
0561718N,4,0,3,1,0,0,0
0561739L,227,0,70,95,47,13,2
0561739L,71,0,23,24,16,8,0
0570030Y,10,0,5,4,1,0,0
0570087K,12,0,8,3,0,1,0
0570098X,24,0,12,11,1,0,0
0570099Y,16,0,5,5,6,0,0
0570099Y,16,0,11,3,2,0,0
0570108H,25,0,13,5,5,2,0
0570175F,144,0,33,73,34,4,0
0572081C,85,0,35,37,12,1,0
0572081C,28,0,22,2,4,0,0
0572081C,110,0,39,42,21,7,1
0572081C,45,0,19,13,10,3,0
0572081C,39,0,15,16,8,0,0
0572081C,7,0,7,0,0,0,0
0572081C,25,0,12,10,1,1,0
0572081C,214,0,89,81,39,5,0
0572081C,4,0,4,0,0,0,0
0572590F,6,0,5,0,1,0,0
0572590F,20,0,6,5,6,3,0
0573227Y,11,0,3,3,5,0,0
